Movie_name,Comment_Rating,Movie_name,Genre 1,Genre 2,Genre 3,Genre 4
2012,4.904569892473118,2012,action,family,children,comedy
21   Over ,5.704918032786885,21   Over ,comedy,adventure,action,children
21 Jump Street ,6.722448979591837,21 Jump Street ,comedy,action,classic,children
42,8.486956521739131,42,action,family,children,classic
50 50 ,7.97457627118644,50 50 ,comedy,family,action,romantic
A Good Day to Die Hard ,4.224924012158055,A Good Day to Die Hard ,action,family,classic,adventure
A Haunted Hous,5.4,A Haunted Hous,comedy,horror,action,family
A Resurrection ,4.444444444444445,A Resurrection ,horror,action,adventure,anime
After Earth ,5.174074074074074,After Earth ,action,sci-fi,family,adventure
Alex Cross ,4.590909090909091,Alex Cross ,action,comedy,thrillers,family
Alice in Wonderland ,6.101176470588236,Alice in Wonderland ,classic,children,adventure,action
Alien ,8.786314525810324,Alien ,horror,sci-fi,classic,action
Aliens ,8.903269754768392,Aliens ,action,horror,sci-fi,classic
Almost Famous ,8.304147465437788,Almost Famous ,classic,comedy,action,musical
American Beauty ,7.839449541284404,American Beauty ,family,comedy,action,classic
American History X ,8.732650739476679,American History X ,family,action,classic,children
American Psycho ,7.3064024390243905,American Psycho ,horror,comedy,action,classic
American Reunion ,7.159574468085107,American Reunion ,comedy,classic,action,adventure
Anna Karenina ,5.448818897637795,Anna Karenina ,classic,action,family,musical
Antiviral ,6.6,Antiviral ,horror,sci-fi,action,classic
Any Day Now ,7.833333333333333,Any Day Now ,family,children,action,classic
Apocalypse Now ,8.216981132075471,Apocalypse Now ,horror,classic,action,family
Armageddon ,5.509090909090909,Armageddon ,action,comedy,sci-fi,adventure
Army of Darkness ,8.445333333333334,Army of Darkness ,horror,comedy,action,classic
Assassins Run ,6.714285714285714,Assassins Run ,action,family,thrillers,adventure
Avatar ,6.77783558792924,Avatar ,action,sci-fi,classic,adventure
Back to the Future ,9.247354497354497,Back to the Future ,classic,comedy,family,adventure
Back to the Future Part II ,7.9036697247706424,Back to the Future Part II ,family,action,adventure,classic
Bad Teacher ,5.280898876404494,Bad Teacher ,comedy,children,action,family
Batman Begins ,8.379548306148056,Batman Begins ,action,classic,family,children
Battle Los Angeles ,5.376838235294118,Battle Los Angeles ,action,sci-fi,children,classic
Battleship ,5.511437908496732,Battleship ,action,sci-fi,classic,comedy
Beasts of the Southern Wild ,7.0,Beasts of the Southern Wild ,children,action,family,horror
Big Daddy ,6.965714285714285,Big Daddy ,comedy,family,children,classic
Big Fis,8.32662192393736,Big Fis,adventure,family,children,classic
Black Swa,6.685082872928176,Black Swa,horror,action,classic,thrillers
Blade Runner ,8.019115890083633,Blade Runner ,sci-fi,classic,action,adventure
Boogie Nights ,7.869402985074627,Boogie Nights ,family,action,classic,comedy
Brave ,6.770186335403727,Brave ,family,children,action,classic
Broken City ,5.333333333333333,Broken City ,action,thrillers,classic,family
Carrie ,4.352941176470588,Carrie ,classic,horror,action,musical
Cars ,7.785340314136126,Cars ,family,children,action,classic
Cars 2 ,5.758823529411765,Cars 2 ,action,children,family,adventure
Casino Royal,7.3551952837140755,Casino Royal,action,classic,adventure,romantic
Chasing Mavericks ,7.790322580645161,Chasing Mavericks ,family,action,children,dramas
Chernobyl Diarie,4.753363228699552,Chernobyl Diarie,horror,action,adventure,children
Chronicl,7.785714285714286,Chronicl,action,horror,sci-fi,family
Clash of the Titans ,4.7525,Clash of the Titans ,action,classic,family,adventure
Cloud Atlas ,6.29798903107861,Cloud Atlas ,action,comedy,sci-fi,adventure
Coffee and Cigarettes ,5.879310344827586,Coffee and Cigarettes ,comedy,action,horror,sci-fi
Contagion ,5.917525773195877,Contagion ,action,family,children,comedy
Contraband ,5.829059829059829,Contraband ,action,sci-fi,classic,comedy
Cowboys   Alien,6.733191035218783,Cowboys   Alien,action,family,classic,comedy
Crash ,5.846153846153846,Crash ,horror,action,comedy,thrillers
Crush ,5.7312925170068025,Crush ,family,comedy,horror,classic
Dark Shadows ,6.050561797752809,Dark Shadows ,family,horror,sci-fi,children
Dark Skies ,7.928301886792453,Dark Skies ,classic,comedy,action,children
Dazed and Confused ,5.711538461538462,Dazed and Confused ,family,action,comedy,thrillers
Dead Man Down ,8.51123595505618,Dead Man Down ,action,comedy,classic,family
Dead Poets Society ,7.336633663366337,Dead Poets Society ,family,children,action,comedy
Deadfall ,6.9125,Deadfall ,action,family,romantic,classic
Despicable Me ,2.2857142857142856,Despicable Me ,action,children,adventure,anime
Despicable Me 2 ,7.342342342342342,Despicable Me 2 ,children,family,comedy,action
Devils of Wa,9.060311284046692,Devils of Wa,action,classic,family,comedy
Die Hard ,8.192307692307692,Die Hard ,family,action,children,documentaries
Disconnect ,7.048872180451128,Disconnect ,action,sci-fi,classic,comedy
District 9 ,7.68895966029724,District 9 ,action,classic,comedy,horror
Django Unchained ,8.195688225538971,Django Unchained ,sci-fi,family,horror,action
Donnie Dark,6.977157360406092,Donnie Dark,action,sci-fi,classic,comedy
Dredd ,6.040243902439024,Dredd ,action,classic,family,romantic
Drive ,5.530054644808743,Drive ,comedy,action,classic,family
Due Date ,8.726643598615917,Due Date ,comedy,classic,adventure,family
Dumb and Dumber ,8.10126582278481,Dumb and Dumber ,classic,children,family,sci-fi
E.T. the Extra-Terrestrial ,5.476277372262774,E.T. the Extra-Terrestrial ,action,sci-fi,classic,children
Elysium ,5.920512820512821,Elysium ,children,action,sci-fi,family
End of Watch ,6.153846153846154,End of Watch ,children,adventure,family,action
Ender s Game ,6.790393013100437,Ender s Game ,action,family,children,comedy
Epic ,5.473684210526316,Epic ,action,adventure,family,children
Escape from Planet Earth ,6.376344086021505,Escape from Planet Earth ,comedy,classic,adventure,children
EuroTrip ,6.098455598455598,EuroTrip ,horror,classic,action,comedy
Evil Dead ,7.593023255813954,Evil Dead ,comedy,action,classic,family
Fargo ,7.184426229508197,Fargo ,action,family,comedy,classic
Fast   Furious ,7.4586894586894585,Fast   Furious ,classic,comedy,action,adventure
Fast Five ,6.852760736196319,Fast Five ,action,family,adventure,classic
Fear and Loathing in Las Vegas ,8.686762778505898,Fear and Loathing in Las Vegas ,action,classic,comedy,family
Fight Club ,9.666666666666666,Fight Club ,family,action,adventure,anime
Filly Brown ,8.48405253283302,Filly Brown ,children,family,adventure,classic
Finding Nemo ,6.579234972677596,Finding Nemo ,action,family,classic,horror
Flight ,8.349753694581281,Flight ,action,classic,horror,comedy
Full Metal Jacket ,5.913043478260869,Full Metal Jacket ,comedy,family,adventure,action
Fun Size ,6.505084745762712,Fun Size ,action,family,comedy,classic
Furious 6 ,5.920245398773006,Furious 6 ,action,classic,comedy,children
Gangster Squad ,6.007462686567164,Gangster Squad ,comedy,action,classic,musical
Get Him to the Greek ,8.353790613718411,Get Him to the Greek ,comedy,classic,action,horror
Ghostbusters ,8.169296987087519,Ghostbusters ,action,family,classic,adventure
Gladiator ,8.240963855421686,Gladiator ,classic,action,family,comedy
Good Will Hunting ,7.512864493996569,Good Will Hunting ,family,action,children,classic
Gran Torino ,6.111111111111111,Gran Torino ,classic,action,romantic,children
Great Expectations ,6.063218390804598,Great Expectations ,action,sci-fi,comedy,classic
Green Lantern ,4.820627802690583,Green Lantern ,comedy,family,children,classic
Grown Ups ,7.622971285892635,Grown Ups ,action,comedy,sci-fi,family
Grown Ups 2 ,5.330708661417323,Grown Ups 2 ,comedy,family,children,classic
Guardians of the Galax,7.180704441041348,Guardians of the Galax,action,children,adventure,family
Harry Potter and the Goblet of Fire ,5.596182085168869,Harry Potter and the Goblet of Fire ,action,comedy,romantic,children
Harry Potter and the Half-Blood Prince ,7.2701492537313435,Harry Potter and the Half-Blood Prince ,children,action,family,adventure
Harry Potter and the Prisoner of Azkaban ,7.830645161290323,Harry Potter and the Prisoner of Azkaban ,children,adventure,family,classic
Harry Potter and the Sorcerer s Stone ,4.633858267716535,Harry Potter and the Sorcerer s Stone ,action,thrillers,adventure,family
Haywire ,8.520391517128875,Haywire ,action,classic,family,thrillers
Heat ,7.619565217391305,Heat ,comedy,family,action,classic
Here Comes the Boom ,8.344961240310077,Here Comes the Boom ,family,classic,comedy,children
Home Alone ,6.297674418604651,Home Alone ,comedy,action,classic,family
Horrible Bosses ,6.777027027027027,Horrible Bosses ,family,children,comedy,classic
Hotel Transylvania ,5.069444444444445,Hotel Transylvania ,horror,family,action,classic
House at the End of the Street ,8.53370786516854,House at the End of the Street ,action,family,children,adventure
How to Train Your Dragon ,5.112426035502959,How to Train Your Dragon ,comedy,action,family,children
I Am Number Four ,6.782258064516129,I Am Number Four ,adventure,action,children,family
Identity Thief ,4.719827586206897,Identity Thief ,action,classic,children,adventure
Immortal,6.021956087824352,Immortal,action,sci-fi,classic,comedy
In Time ,8.121365360303413,In Time ,action,comedy,classic,family
Inception ,8.566455696202532,Inception ,action,adventure,classic,comedy
Independence Da,6.5966608084358525,Independence Da,action,family,comedy,classic
Indiana Jones and the Last Crusade ,5.964169381107492,Indiana Jones and the Last Crusade ,action,sci-fi,classic,family
Inglourious Basterds ,6.45859872611465,Inglourious Basterds ,action,comedy,family,classic
Iron Man ,5.949074074074074,Iron Man ,action,comedy,sci-fi,classic
Iron Man Three ,5.8949416342412455,Iron Man Three ,action,sci-fi,romantic,adventure
Iron Sky ,5.932258064516129,Iron Sky ,action,thrillers,classic,adventure
Jack Reache,5.111111111111111,Jack Reache,action,adventure,anime,children
Jack the Giant Slayer ,8.97677793904209,Jack the Giant Slayer ,classic,horror,action,adventure
Java Heat ,7.466800804828974,Java Heat ,action,adventure,sci-fi,family
Jaw,6.393939393939394,Jaw,horror,comedy,action,adventure
John Carter ,5.1441441441441444,John Carter ,action,sci-fi,adventure,family
John Dies at the End ,8.681957186544343,John Dies at the End ,action,classic,children,adventure
Jumper ,6.594594594594595,Jumper ,action,comedy,classic,family
Jurassic Park ,7.146067415730337,Jurassic Park ,action,comedy,children,adventure
Kick-Ass ,8.68421052631579,Kick-Ass ,classic,action,dramas,thrillers
Kick-Ass 2 ,5.033755274261603,Kick-Ass 2 ,action,comedy,classic,dramas
Killing Them Softly ,6.766081871345029,Killing Them Softly ,action,family,classic,romantic
L.A. Confidential ,6.4638403990024935,L.A. Confidential ,family,action,classic,comedy
Law Abiding Citizen ,7.661946902654868,Law Abiding Citizen ,family,adventure,action,children
Lawless ,7.6375,Lawless ,comedy,family,children,action
Liar Liar ,6.982456140350878,Liar Liar ,action,sci-fi,classic,thrillers
Life of Pi ,6.896247240618101,Life of Pi ,action,classic,comedy,family
Limitless ,5.617647058823529,Limitless ,action,sci-fi,classic,family
Live Free or Die Hard ,6.666666666666667,Live Free or Die Hard ,action,sci-fi,horror,adventure
Lo imposible ,4.695652173913044,Lo imposible ,action,comedy,romantic,family
